0.163,0.884,2.805
-0.097,-0.322,-2.198
-0.034,-0.525,-0.92
-0.182,0.119,0.836
0.12,-0.151,0.641
-0.073,0.701,0.98
0.067,0.264,-0.078
-0.185,-0.745,-0.823
-0.334,-0.237,0.796
0.271,0.788,1.467
-0.146,0.019,0.675
-0.189,-0.477,-0.543
0.037,0.404,0.721
-0.145,-0.325,-0.068
-0.125,-0.347,-0.405
-0.005,-0.202,-0.594
0.056,-0.324,-0.861
0.224,-0.242,0.38
0.043,0.055,2.28
0.426,-0.009,0.021
0.044,0.386,-0.663
-0.149,-0.073,-0.075
0.212,0.38,1.872
0.229,-0.117,-0.01
0.311,-0.459,0.367
0.276,0.538,0.829
0.019,0.578,-0.356
-0.442,0.951,-0.22
-0.218,0.219,0.398
-0.294,-0.145,0.098
-0.401,0.918,0.61
0.032,-0.696,-1.594
0.344,-0.718,0.774
-0.197,0.194,0.335
0.035,-1.047,-1.103
0.425,-0.61,-0.409
0.017,0.418,1.263
0.189,0.101,0.154
0.074,0.259,0.229
0.075,-0.373,-0.498
-0.054,0.012,-0.823
0.139,0.333,-0.767
-0.272,-0.81,-1.367
0.448,0.057,2.25
0.06,0.635,-0.434
-0.37,-0.282,-1.295
0.098,-0.348,0.208
0.18,-0.571,-0.287
-0.353,0.44,1.111
0.261,-0.526,-0.239
0.031,-0.511,-1.224
-0.095,0.222,-0.788
0.075,0.565,0.32
-0.171,-0.089,-0.661
0.283,0.656,1.961
0.618,-1.496,-1.83
0.3,-0.272,-0.947
-0.406,0.031,-0.011
-0.113,-0.003,-0.183
-0.271,-0.458,0.356
0.166,0.029,0.413
-0.028,-0.352,-1.588
0.003,-0.126,1.051
0.313,-0.19,-0.708
-0.299,0.051,0.835
0.14,0.101,0.017
0.529,-0.202,0.709
-0.069,-0.059,0.195
0.279,0.321,0.164
0.031,-1.009,0.863
-0.276,-0.604,-0.678
-0.006,-0.166,-1.661
0.309,0.269,-1.127
-0.189,-0.302,0.18
0.514,0.685,0.693
0.105,0.605,0.712
-0.264,-0.852,-0.937
-0.01,0.023,-0.931
-0.22,0.898,0.835
0.132,-0.029,-0.804
0.164,-0.153,0.028
-0.166,-0.091,-0.885
-0.229,-0.234,0.182
-0.132,0.257,0.315
-0.192,-0.314,1.184
0.5,0.5,0.25
0.074,0.148,0.599
0.092,-0.533,-0.303
0.016,-0.256,0.717
-0.133,-0.036,0.824
-0.331,-0.379,0.261
0.145,0.468,-0.464
-0.007,0.55,0.794
0.518,-0.49,-1.25
0.368,0.587,1.49
-0.036,0.821,1.846
-0.295,-0.8,-0.802
0.271,0.194,0.285
-0.223,0.477,-0.043
0.129,-0.416,0.623
0.042,-0.214,-0.832
0.522,0.834,0.61
0.193,-0.257,-0.875
0.236,1.015,0.504
0.054,0.196,-0.188
0.341,-0.568,-1.196
0.228,0.317,0.846
0.23,0.665,0.312
-0.208,-0.226,-1.259
-0.029,-0.516,0.847
0.06,0.001,0.144
0.015,0.524,0.02
-0.067,0.437,1.436
0.01,0.54,0.396
0.271,-0.384,-0.936
-0.019,-0.083,-0.157
-0.076,0.54,1.217
0.138,0.898,-0.003
0.141,0.59,0.742
-0.212,-0.129,0.019
0.067,-0.014,-0.284
-0.23,0.251,-0.602
0.505,-1.154,0.185
-0.247,0.314,1.814
-0.062,0.042,-0.912
0.105,0.379,-0.549
-0.196,-0.385,0.317
-0.263,-0.263,-1.813
0.132,0.087,0.103
0.11,-1.639,-0.636
-0.194,1.487,-0.037
-0.402,0.21,0.283
-0.296,0.577,0.721
0.368,0.098,0.872
-0.094,0.252,-0.353
-0.108,-0.43,0.876
-0.126,-0.23,-0.602
0.07,-0.046,0.185
0.011,0.883,-0.054
-0.086,-0.348,0.14
0.114,-0.48,-0.808
-0.194,-0.325,-1.017
0.222,-0.517,-0.499
0.25,-0.644,0.344
0.057,-1.176,-0.573
0.226,-0.179,-0.642
-0.136,0.308,-0.515
-0.352,-0.28,0.208
-0.121,0.207,0.711
-0.003,-0.672,-1.429
0.158,0.069,-0.098
-0.15,-0.14,0.994
-0.022,0.256,-0.066
-0.209,-0.069,0.482
-0.03,0.094,0.827
-0.009,1.108,1.892
0.4,0.472,0.602
-0.167,0.476,0.826
0.12,-0.444,0.28
-0.226,-0.416,-1.165
0.197,-0.1,-0.118
0.617,-0.153,-0.11
0.058,0.866,0.824
-0.604,-0.942,-0.792
0.025,0.815,2.021
0.085,-0.433,0.722
-0.19,0.074,-0.03
-0.164,-0.114,0.235
-0.226,0.696,-0.019
0.139,1.228,1.418
0.324,0.373,0.99
0.124,0.323,2.109
0.185,0.95,0.588
-0.116,0.085,-0.294
0.205,0.215,0.288
0.239,0.075,1.192
0.228,-0.947,0.507
-0.026,0.649,0.949
-0.088,0.085,0.364
0.379,1.331,2.147
-0.165,-0.211,0.919
-0.159,-0.574,-1.183
0.241,-0.568,0.148
0.439,0.232,2.009
0.223,-0.703,-0.447
-0.111,0.072,1.432
0.048,0.302,1.714
-0.179,-0.337,-1.353
0.179,0.686,0.179
-0.092,-0.938,-1.055
0.18,0.479,0.186
0.01,-0.343,0.001
-0.349,0.003,0.316
0.33,-0.006,-0.119
-0.089,-0.682,0.243
-0.121,0.82,0.606
0.371,-0.984,-0.679
0.164,0.135,-0.742
-0.438,-0.361,-0.882
0.113,0.703,1.56
0.139,-0.467,0.43
-0.231,-0.098,0.52
-0.214,-0.254,1.493
-0.005,0.083,0.457
-0.076,-0.233,-0.6
-0.391,-1.028,-0.468
-0.036,-0.349,-0.174
0.092,0.686,0.339
-0.195,-0.14,-1.214
-0.618,-0.107,1.026
0.249,0.404,0.86
0.352,0.449,1.351
0.103,-0.542,-0.218
-0.215,0.349,-0.687
-0.039,-0.036,-0.515
0.039,-0.456,0.041
-0.097,-0.071,-0.15
0.246,0.235,0.132
-0.195,0.807,1.255
0.152,-0.307,0.95
-0.245,0.287,1.293
-0.35,0.245,0.923
0.262,-0.112,-0.161
0.032,-0.144,-2.147
0.035,0.532,0.987
-0.084,-0.306,-0.872
-0.106,-0.156,-0.247
0.314,-0.285,0.937
